id,type,breed,age,gender,size,description,name,status,published_at
65523653,Cat,Domestic Short Hair,Baby,Male,Medium,,TIMOTHY,adoptable,2023-07-20T16:51:09+0000
65523644,Cat,Maine Coon,Adult,Male,Large,,PLANKTON,adoptable,2023-07-20T16:51:07+0000
65523646,Cat,Domestic Short Hair,Adult,Female,Medium,,SHELLEY,adoptable,2023-07-20T16:51:07+0000
65523645,Cat,Persian,Adult,Female,Medium,,PURRANDA,adoptable,2023-07-20T16:51:07+0000
65523641,Cat,Domestic Short Hair,Young,Female,Medium,Meet Lana! This beautiful girl is just over a year old. She is one of the most loving and affectionate...,Lana,adoptable,2023-07-20T16:51:04+0000
65523642,Cat,Tuxedo,Baby,Male,Medium,"PLEASE NOTE: We do not adopt our fosters to anyone further than a 1-hour drive from Albany, NY. Unless otherwise...",Dean,adoptable,2023-07-20T16:51:03+0000
65523639,Cat,Domestic Short Hair,Senior,Female,Large,"Sunshine is a ray of light.
A warm cuddly cat that loves attention. 
She spends her days following her human...",Sunshine,adoptable,2023-07-20T16:50:27+0000
65523617,Cat,Domestic Short Hair,Adult,Female,Medium,"Skye, affectionately nicknamed “Stevie”, is a high functioning special needs cat. Stevie is legally blind (but can see shapes, lights...",Skye,adoptable,2023-07-20T16:48:56+0000
65523615,Cat,Domestic Short Hair,Baby,Male,Small,"Yeti is a gentle soul who was found in a feral colony. He is incredible soft and has the biggest,...",Yeti,adoptable,2023-07-20T16:48:43+0000
65523602,Cat,Domestic Short Hair,Adult,Female,Medium,Primary Color: Orange Tabby Weight: 6.5lbs Age: 5yrs 0mths 0wks,Little One *bonded With Snowball*,adoptable,2023-07-20T16:47:18+0000
65523600,Cat,Domestic Short Hair,Adult,Female,Small,"Cry Baby is a sweet chunk who loves to talk! She can sometimes be a little shy at first, but...",Cry Baby,adoptable,2023-07-20T16:47:14+0000
